Alias,About,Visualization,Statistical,Mathematics,Artistic,Computer,Programming,Graphics,Human-computer,Evaluation,Communication,Collaboration,Repository
Soup,"illustration, games, modeling",4,4,5,7,7,4,5,5,6,8,7,5
vq,"sports, data analysis, painting",7,9,7,10,10,7,3,5,4,6,2,5
jjettas,"sports, statistics, entrepreneurship",6,7,5,3,10,9,5,4,7,10,8,10
SunnyStockholm,"sports, family, trying things",2,3,5,3,6,5,1,2,2,8,5,3
Yami,"drawing, reading, movies, cooking",6,4,7,9,8,7,7,6,6,9,2,6
pringles,"sports, movies",3,3,3,1,4,3,1,1,1,4,4,5
Oseram,"coding, guitar, traveling, hiking, movies, cooking, sailing",6,3,5,2,10,10,7,6,5,8,9,10
Rizzlord,"no swedish, crypto-trading, breakfast, basketball, snowboarding, guitar, art basel, tiktok, partying",6,7,7,1,10,3,1,1,3,10,10,1
Koronesuki,"learning japanese, culture, food, folk customs, anime, vtubers, jogging, flexibility, video games, programming, visualisation, computer graphics, modeling, drawing",2,2,5,4,8,5,1,3,2,5,4,5
Daybeha,"coding, sports",6,6,5,4,7,7,6,6,1,6,5,5
Pasta,"visual computing, computer science, bouldering, hiking, football, skiing",6,7,8,6,9,9,6,6,7,9,10,9
PogChamp,"computer gaming, reading, movies, guitar",6,6,7,5,9,8,1,1,1,8,7,7
Ropianos,"climbing, bouldering, languages, programming, board games, video games
",4,4,5,3,9,9,9,7,4,6,6,10
Horse123,"video games, bartending",3,4,5,2,5,7,8,4,2,5,5,7
Rebin,"movies, games, reading sci-fi",5,6,6,8,7,7,8,5,6,6,8,8
monoid,"computer science, 3D rendering, piano, coding",7,8,7,7,8,9,7,6,6,7,7,9
Ishi,"computer science, reading, technology, sailing, traveling, photography, Japan",2,3,5,2,6,5,2,3,3,8,6,4
xXVisWizXx,"video games, trekking, climbing, traveling, guitar, data acquisition, interaction design, coding",4,5,5,1,8,5,1,7,5,5,6,4
Aloy,"draw, paint, video games, sports",3,3,4,9,8,5,3,3,8,10,8,8
Turb0clutcharen,"graphic design, geography, history, technology, video games",3,3,6,6,8,7,3,4,2,9,8,8
kanelbullar13,"skating, museums",2,7,8,3,5,5,5,5,1,7,6,3
Skvarre,"band, cooking, games, drinking ",3,4,6,1,8,6,4,2,3,2,3,7
Pål,"coding, visual, producer, audio engineer, social",4,7,8,4,7,4,2,6,7,7,8,8
Modi,"civil engineering, computer science",2,3,6,6,6,5,3,5,6,8,8,5
Bluebell,"programming, dancing, knitting, photography",1,4,4,4,4,2,5,5,5,9,8,3
Noggin_bops,"computer graphics, game development, games, sewing, making perfume.",6,2,5,7,10,9,10,6,4,5,6,10
Lumos,"workout, movies, reading, chess, music, entrepreneurship",7,4,8,4,10,8,5,6,6,5,8,9
Santa86,"painting, sports, design",3,5,8,9,4,4,4,5,7,6,6,6
mercury,"handball, dancing, friends, movies, politics, society, science, climate change, biodiversity, sustainability",2,8,5,3,5,3,4,3,1,6,9,4
DonkeyKong1,"photography, knitting,  pottery",2,3,2,4,5,2,4,2,3,5,5,3
ardillito28,"workout, friends, bass, guitar, piano, drums.",4,5,4,6,8,8,2,1,4,8,7,8
rabbit99,,3,4,3,7,8,4,1,5,10,10,8,1
unpwu,"chess, table tennis, cycling, sports",3,8,7,3,7,5,8,2,1,6,6,7
PetrifiedDropbear69,"reading, video games, bouldering",6,7,7,4,8,7,6,7,4,9,5,8
ChaCharizard,"horseriding, pokémon",4,3,10,9,9,4,2,3,5,10,8,5
HalfCrimp,"climbing, photography, games, dogs",3,7,5,4,7,6,7,3,4,7,7,7
coldfooter,"children, reading, music, coding, travel, surfing, beach",8,6,7,6,8,7,4,6,4,7,7,7
Ramennoodle,"outdoors, new places, working out, cooking, electric vehicles",3,3,6,4,7,2,2,2,3,7,8,2
Rufstufsan,"video games, creative, productive",2,5,8,3,10,7,6,7,5,7,8,10
C3I2,wargamer,8,9,8,3,9,8,5,7,7,8,7,9
Bempis2,"music, singing, drawing, games",3,3,3,8,8,7,7,6,8,8,7,7
